# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
#
VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 107359 50 0.06355 0.06355 37.24314 0.10580 0.02350 0.00631
SN: 57472 50 0.06355 0.06355 37.34877 0.10500 0.02350 0.00671
SN: 66312 50 0.06363 0.06363 37.39922 0.10040 0.02350 0.00629
SN: 138623 50 0.06372 0.06372 37.28094 0.10820 0.02340 0.00674
SN: 82826 50 0.06375 0.06375 37.16646 0.10370 0.02340 0.00633
SN: 138358 50 0.06385 0.06385 37.34151 0.10190 0.02340 0.00592
SN: 119633 50 0.06391 0.06391 37.32506 0.11800 0.02340 0.00585
SN: 38034 50 0.06412 0.06412 37.33354 0.10440 0.02330 0.00705
SN: 8115 50 0.06412 0.06412 37.20060 0.11150 0.02330 0.00588
SN: 5143 50 0.06420 0.06420 37.26641 0.10800 0.02330 0.00640
SN: 77661 50 0.06420 0.06420 37.19557 0.10310 0.02330 0.00580
SN: 33973 50 0.06439 0.06439 37.24973 0.11070 0.02320 0.02306
SN: 58968 50 0.06441 0.06441 37.14601 0.10140 0.02320 0.00592
SN: 85896 50 0.06445 0.06445 37.40137 0.10420 0.02320 0.00629
SN: 2576 50 0.06454 0.06454 37.41630 0.11010 0.02310 0.00620
SN: 26467 50 0.06454 0.06454 37.27053 0.11160 0.02310 0.00691
SN: 23192 50 0.06456 0.06456 37.27963 0.10190 0.02310 0.00623
SN: 130999 50 0.06462 0.06462 37.31639 0.13640 0.02310 0.00618
SN: 66440 50 0.06466 0.06466 37.32995 0.10800 0.02310 0.00665
SN: 15447 50 0.06469 0.06469 37.34693 0.10220 0.02310 0.00703
SN: 9758 50 0.06481 0.06481 37.20617 0.10590 0.02310 0.00700
SN: 18814 50 0.06487 0.06487 37.42158 0.10250 0.02300 0.00625
SN: 97783 50 0.06494 0.06494 37.28596 0.11590 0.02300 0.00610
SN: 49152 50 0.06502 0.06502 37.26159 0.11420 0.02300 0.00807
SN: 56291 50 0.06502 0.06502 37.21215 0.10410 0.02300 0.00602
SN: 61540 50 0.06507 0.06507 37.45450 0.10920 0.02300 0.00678
SN: 23645 50 0.06508 0.06508 37.43047 0.10100 0.02300 0.00606
SN: 120899 50 0.06516 0.06516 37.22548 0.11510 0.02290 0.00649
SN: 22303 50 0.06516 0.06516 37.50007 0.10520 0.02290 0.00634
SN: 67438 50 0.06522 0.06522 37.41903 0.10340 0.02290 0.00596
SN: 58975 50 0.06525 0.06525 37.31479 0.12920 0.02290 0.00772
SN: 62107 50 0.06533 0.06533 37.42845 0.10270 0.02290 0.00657
SN: 115449 50 0.06535 0.06535 37.36714 0.10620 0.02290 0.00616
SN: 82041 50 0.06541 0.06541 37.51798 0.10970 0.02280 0.00744
SN: 60820 50 0.06544 0.06544 37.32442 0.10260 0.02280 0.00741
SN: 125430 50 0.06550 0.06550 37.40830 0.10260 0.02280 0.00655
SN: 12603 50 0.06562 0.06562 37.15794 0.28740 0.02280 0.06275
SN: 93929 50 0.06566 0.06566 37.46517 0.10290 0.02280 0.00654
SN: 7981 50 0.06570 0.06570 37.43271 0.10410 0.02280 0.00845
SN: 27392 50 0.06571 0.06571 37.40863 0.11100 0.02270 0.00632
SN: 16208 50 0.06577 0.06577 37.47667 0.10090 0.02270 0.00598
SN: 36848 50 0.06578 0.06578 37.26655 0.12660 0.02270 0.00572
SN: 78586 50 0.06592 0.06592 37.36167 0.11980 0.02270 0.00693
SN: 113584 50 0.06607 0.06607 37.49265 0.10040 0.02260 0.00592
SN: 5275 50 0.06610 0.06610 37.39396 0.10280 0.02260 0.00576
SN: 57268 50 0.06628 0.06628 37.37817 0.10930 0.02260 0.00636
SN: 21026 50 0.06637 0.06637 37.20971 0.10110 0.02250 0.00636
SN: 95061 50 0.06641 0.06641 37.39323 0.13010 0.02250 0.00763
SN: 40053 50 0.06650 0.06650 37.21579 0.12940 0.02250 0.00935
SN: 52555 50 0.06650 0.06650 37.46415 0.10540 0.02250 0.00610
SN: 122904 50 0.06651 0.06651 37.37710 0.10560 0.02250 0.00745
SN: 106530 50 0.06654 0.06654 37.49811 0.10330 0.02250 0.00792
SN: 124446 50 0.06655 0.06655 37.48039 0.10610 0.02250 0.00572
SN: 99099 50 0.06657 0.06657 37.48948 0.10860 0.02250 0.00751
SN: 80224 50 0.06670 0.06670 37.25707 0.10040 0.02240 0.00576
SN: 76487 50 0.06679 0.06679 37.43414 0.11730 0.02240 0.00618
SN: 47709 50 0.06685 0.06685 37.46147 0.11690 0.02240 0.00584
SN: 47232 50 0.06695 0.06695 37.46046 0.10630 0.02230 0.00634
SN: 21747 50 0.06701 0.06701 37.35044 0.11390 0.02230 0.00975
SN: 107580 50 0.06716 0.06716 37.32557 0.10370 0.02230 0.00648
SN: 40994 50 0.06716 0.06716 37.25273 0.11440 0.02230 0.00688
SN: 102582 50 0.06728 0.06728 37.44961 0.11170 0.02220 0.00653
SN: 118983 50 0.06734 0.06734 37.29203 0.10390 0.02220 0.00685
SN: 10055 50 0.06737 0.06737 37.57643 0.10310 0.02220 0.00606
SN: 106773 50 0.06737 0.06737 37.39877 0.10910 0.02220 0.00794
SN: 18367 50 0.06752 0.06752 37.51674 0.10350 0.02220 0.00629
SN: 43774 50 0.06753 0.06753 37.36857 0.10340 0.02220 0.00605
