# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 0  # flag for cosmology fitter to choose blind option # 5785
zCMB zHEL MU MUERR MUERR_SYS
4.179000000000000076e-02 4.179000000000000076e-02 3.629014999999999702e+01 1.097999999999999948e-01 6.599999999999999964e-03
4.180999999999999994e-02 4.180999999999999994e-02 3.629344999999999999e+01 1.092000000000000054e-01 7.219999999999999855e-03
4.207999999999999935e-02 4.207999999999999935e-02 3.641705000000000325e+01 1.214999999999999969e-01 7.889999999999999444e-03
4.223999999999999977e-02 4.223999999999999977e-02 3.637245999999999668e+01 1.126999999999999946e-01 6.590000000000000371e-03
4.232999999999999957e-02 4.232999999999999957e-02 3.626080999999999932e+01 1.194999999999999951e-01 6.939999999999999988e-03
4.261999999999999816e-02 4.261999999999999816e-02 3.641031000000000262e+01 1.110000000000000014e-01 6.570000000000000319e-03
4.302000000000000268e-02 4.302000000000000268e-02 3.636766000000000076e+01 1.091000000000000025e-01 8.030000000000000679e-03
4.331999999999999740e-02 4.331999999999999740e-02 3.656927999999999912e+01 1.120000000000000023e-01 6.470000000000000057e-03
4.340999999999999720e-02 4.340999999999999720e-02 3.638217000000000212e+01 1.236000000000000015e-01 7.170000000000000158e-03
4.343999999999999945e-02 4.343999999999999945e-02 3.648127000000000209e+01 1.135000000000000037e-01 6.760000000000000384e-03
4.410000000000000031e-02 4.410000000000000031e-02 3.637362000000000251e+01 1.170000000000000068e-01 7.709999999999999840e-03
4.431000000000000216e-02 4.431000000000000216e-02 3.652255000000000251e+01 1.137999999999999984e-01 6.839999999999999726e-03
4.440999999999999809e-02 4.440999999999999809e-02 3.686008999999999958e+01 1.337000000000000133e-01 7.150000000000000105e-03
4.485000000000000098e-02 4.485000000000000098e-02 3.640312999999999732e+01 1.135000000000000037e-01 6.680000000000000174e-03
4.501000000000000140e-02 4.501000000000000140e-02 3.658914000000000044e+01 1.121999999999999942e-01 6.890000000000000291e-03
4.540999999999999898e-02 4.540999999999999898e-02 3.665550999999999959e+01 1.112999999999999962e-01 7.210000000000000263e-03
4.542999999999999816e-02 4.542999999999999816e-02 3.642922000000000082e+01 1.129000000000000004e-01 7.000000000000000146e-03
4.551999999999999796e-02 4.551999999999999796e-02 3.633420999999999879e+01 1.170999999999999958e-01 7.340000000000000170e-03
4.556999999999999940e-02 4.556999999999999940e-02 3.654686999999999841e+01 1.107000000000000067e-01 6.939999999999999988e-03
4.574000000000000288e-02 4.574000000000000288e-02 3.650652000000000186e+01 1.089999999999999997e-01 6.599999999999999964e-03
4.592999999999999861e-02 4.592999999999999861e-02 3.646582000000000079e+01 1.069999999999999979e-01 6.989999999999999686e-03
4.599000000000000310e-02 4.599000000000000310e-02 3.673803000000000196e+01 1.149000000000000021e-01 6.590000000000000371e-03
4.599999999999999922e-02 4.599999999999999922e-02 3.638875000000000171e+01 1.067000000000000032e-01 7.060000000000000303e-03
4.605000000000000066e-02 4.605000000000000066e-02 3.651984999999999815e+01 1.156999999999999973e-01 7.110000000000000001e-03
4.624999999999999944e-02 4.624999999999999944e-02 3.633924999999999983e+01 1.145999999999999935e-01 6.769999999999999976e-03
4.635000000000000231e-02 4.635000000000000231e-02 3.646240999999999843e+01 1.113999999999999990e-01 6.620000000000000016e-03
4.648999999999999660e-02 4.648999999999999660e-02 3.655651000000000295e+01 1.297000000000000097e-01 6.649999999999999661e-03
4.683999999999999969e-02 4.683999999999999969e-02 3.655252999999999730e+01 1.166999999999999982e-01 7.009999999999999738e-03
4.707999999999999685e-02 4.707999999999999685e-02 3.670727999999999724e+01 1.069999999999999979e-01 6.799999999999999621e-03
4.725000000000000033e-02 4.725000000000000033e-02 3.639981999999999829e+01 1.227000000000000035e-01 7.300000000000000065e-03
4.780999999999999833e-02 4.780999999999999833e-02 3.647872000000000270e+01 1.060999999999999999e-01 6.939999999999999988e-03
4.787000000000000283e-02 4.787000000000000283e-02 3.656745999999999697e+01 1.088999999999999968e-01 6.499999999999999702e-03
4.794000000000000344e-02 4.794000000000000344e-02 3.665910000000000224e+01 1.194000000000000061e-01 6.700000000000000226e-03
4.798999999999999794e-02 4.798999999999999794e-02 3.672758000000000322e+01 1.079999999999999988e-01 1.490000000000000005e-02
4.807000000000000162e-02 4.807000000000000162e-02 3.650065000000000026e+01 1.194999999999999951e-01 6.559999999999999859e-03
4.807999999999999774e-02 4.807999999999999774e-02 3.669286000000000314e+01 1.244999999999999996e-01 6.579999999999999911e-03
4.812000000000000305e-02 4.812000000000000305e-02 3.655458000000000141e+01 1.137999999999999984e-01 7.309999999999999658e-03
4.821000000000000285e-02 4.821000000000000285e-02 3.673152999999999935e+01 1.111000000000000043e-01 6.830000000000000134e-03
4.821999999999999897e-02 4.821999999999999897e-02 3.660929999999999751e+01 1.050999999999999990e-01 7.429999999999999973e-03
4.832999999999999796e-02 4.832999999999999796e-02 3.662433999999999656e+01 1.208999999999999936e-01 6.969999999999999633e-03
4.839000000000000246e-02 4.839000000000000246e-02 3.671298999999999779e+01 1.077000000000000041e-01 6.550000000000000266e-03
4.843000000000000083e-02 4.843000000000000083e-02 3.665265000000000128e+01 1.092999999999999944e-01 7.230000000000000315e-03
4.846000000000000307e-02 4.846000000000000307e-02 3.679138999999999982e+01 1.063000000000000056e-01 7.080000000000000356e-03
4.852000000000000063e-02 4.852000000000000063e-02 3.668791999999999831e+01 1.116999999999999937e-01 6.389999999999999847e-03
4.855000000000000288e-02 4.855000000000000288e-02 3.647402000000000299e+01 1.398000000000000076e-01 6.479999999999999649e-03
4.893999999999999739e-02 4.893999999999999739e-02 3.669740999999999786e+01 1.307000000000000106e-01 6.530000000000000214e-03
4.909000000000000169e-02 4.909000000000000169e-02 3.667137000000000313e+01 1.125000000000000028e-01 6.610000000000000424e-03
4.918000000000000149e-02 4.918000000000000149e-02 3.672688000000000130e+01 1.320999999999999952e-01 6.530000000000000214e-03
4.927999999999999742e-02 4.927999999999999742e-02 3.662995999999999697e+01 1.113999999999999990e-01 6.629999999999999609e-03
4.932000000000000273e-02 4.932000000000000273e-02 3.656752999999999787e+01 1.073999999999999955e-01 6.749999999999999924e-03
4.936000000000000110e-02 4.936000000000000110e-02 3.669321000000000055e+01 1.129000000000000004e-01 6.429999999999999952e-03
4.936000000000000110e-02 4.936000000000000110e-02 3.662463000000000335e+01 1.108999999999999986e-01 6.409999999999999899e-03
4.957000000000000295e-02 4.957000000000000295e-02 3.665549000000000035e+01 1.078999999999999959e-01 6.989999999999999686e-03
4.964999999999999969e-02 4.964999999999999969e-02 3.686686999999999870e+01 1.089999999999999997e-01 7.029999999999999791e-03
4.981000000000000011e-02 4.981000000000000011e-02 3.669500000000000028e+01 1.189000000000000057e-01 7.000000000000000146e-03
4.995000000000000134e-02 4.995000000000000134e-02 3.662852000000000174e+01 1.275999999999999912e-01 7.429999999999999973e-03
5.004999999999999727e-02 5.004999999999999727e-02 3.698631000000000313e+01 1.117999999999999966e-01 6.810000000000000081e-03
5.006000000000000033e-02 5.006000000000000033e-02 3.664795000000000158e+01 1.145000000000000046e-01 6.519999999999999754e-03
5.016999999999999932e-02 5.016999999999999932e-02 3.670680000000000121e+01 1.131000000000000061e-01 7.289999999999999605e-03
5.020000000000000157e-02 5.020000000000000157e-02 3.661970000000000169e+01 1.212000000000000022e-01 6.760000000000000384e-03
5.045000000000000179e-02 5.045000000000000179e-02 3.664374999999999716e+01 1.247000000000000053e-01 6.890000000000000291e-03
5.052000000000000240e-02 5.052000000000000240e-02 3.701984999999999815e+01 1.058999999999999941e-01 7.389999999999999868e-03
5.095999999999999835e-02 5.095999999999999835e-02 3.698720999999999748e+01 1.082999999999999935e-01 6.749999999999999924e-03
5.109000000000000347e-02 5.109000000000000347e-02 3.677685000000000315e+01 1.068999999999999950e-01 6.890000000000000291e-03
5.129000000000000226e-02 5.129000000000000226e-02 3.668558000000000163e+01 1.180999999999999966e-01 6.590000000000000371e-03
5.131000000000000144e-02 5.131000000000000144e-02 3.686543999999999954e+01 1.049999999999999961e-01 7.119999999999999593e-03
5.133999999999999675e-02 5.133999999999999675e-02 3.704133999999999816e+01 1.092999999999999944e-01 6.689999999999999766e-03
5.138999999999999818e-02 5.138999999999999818e-02 3.693500000000000227e+01 1.082999999999999935e-01 6.649999999999999661e-03
5.149999999999999717e-02 5.149999999999999717e-02 3.677868000000000137e+01 1.038000000000000034e-01 7.009999999999999738e-03
5.177999999999999964e-02 5.177999999999999964e-02 3.685387999999999664e+01 1.068999999999999950e-01 6.490000000000000109e-03
5.183000000000000107e-02 5.183000000000000107e-02 3.692154000000000025e+01 1.081000000000000016e-01 6.420000000000000359e-03
5.185000000000000026e-02 5.185000000000000026e-02 3.684546999999999883e+01 1.165000000000000063e-01 7.349999999999999763e-03
5.197999999999999843e-02 5.197999999999999843e-02 3.701375000000000171e+01 1.098999999999999977e-01 6.910000000000000343e-03
5.235999999999999682e-02 5.235999999999999682e-02 3.682833000000000112e+01 1.181999999999999995e-01 6.550000000000000266e-03
5.238000000000000295e-02 5.238000000000000295e-02 3.682874999999999943e+01 1.122999999999999970e-01 2.092000000000000109e-02
5.288000000000000339e-02 5.288000000000000339e-02 3.675789000000000328e+01 1.198000000000000037e-01 7.389999999999999868e-03
5.299999999999999850e-02 5.299999999999999850e-02 3.696379999999999910e+01 1.607999999999999985e-01 6.459999999999999597e-03
5.303999999999999687e-02 5.303999999999999687e-02 3.701776999999999873e+01 1.033000000000000029e-01 6.769999999999999976e-03
5.313999999999999974e-02 5.313999999999999974e-02 3.690203000000000344e+01 1.092000000000000054e-01 7.199999999999999803e-03
5.324999999999999872e-02 5.324999999999999872e-02 3.695597000000000065e+01 1.044999999999999957e-01 6.440000000000000412e-03
5.326999999999999791e-02 5.326999999999999791e-02 3.675777000000000072e+01 1.313999999999999890e-01 6.510000000000000162e-03
5.358999999999999875e-02 5.358999999999999875e-02 3.681971999999999667e+01 9.919999999999999651e-02 6.499999999999999702e-03
